,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
304,394423,346,"Brunswick, GA",msa,GA,,,29.0,34.0,38.0,35.0,29.0,32.0,37.0,31.0,35.0,39.0,37.0,30.0,32.0,35.0,33.0,33.0,34.0,32.0,37.0,36.0,30.0,34.0,36.0,35.0,39.0,31.0,24.0,29.0,24.0,31.0,32.0,25.0,24.0,26.0,26.0,27.0,28.0,14.0,28.0,35.0,33.0,37.0,34.0,32.0,33.0,36.0,45.0,37.0,37.0,35.0,35.0,39.0,39.0,36.0,37.0
305,753890,347,"Holland, MI",msa,MI,48.0,49.0,38.0,41.0,49.0,42.0,46.0,45.0,48.0,42.0,46.0,37.0,40.0,44.0,40.0,42.0,44.0,43.0,42.0,45.0,41.0,48.0,42.0,47.0,49.0,42.0,41.0,44.0,50.0,,,45.0,50.0,48.0,46.0,52.0,55.0,46.0,43.0,43.0,39.0,43.0,40.0,42.0,44.0,44.0,45.0,44.0,44.0,36.0,41.0,36.0,35.0,39.0,37.0,40.0,41.0
306,395237,349,"Wooster, OH",msa,OH,23.0,18.0,18.0,30.0,24.0,25.0,22.0,19.0,22.0,26.0,21.0,22.0,22.0,22.0,21.0,25.0,18.0,22.0,21.0,16.0,18.0,28.0,17.0,23.0,30.0,32.0,23.0,30.0,33.0,34.0,34.0,36.0,27.0,39.0,37.0,34.0,25.0,30.0,41.0,38.0,40.0,41.0,38.0,38.0,44.0,42.0,37.0,37.0,41.0,32.0,32.0,33.0,35.0,37.0,35.0,37.0,33.0
307,394495,350,"Cookeville, TN",msa,TN,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,43.0,42.0,35.0,38.0,42.0,41.0,45.0,41.0,42.0,38.0,36.0,36.0,37.0,40.0,41.0,38.0,35.0,37.0,36.0,38.0,40.0,45.0,39.0,35.0,37.0,37.0,40.0,39.0,33.0,36.0
308,395217,352,"Weirton, WV",msa,OH,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,24.0,30.0,30.0,29.0,43.0,18.0,29.0,37.0,39.0,14.0,34.0,45.0,45.0,46.0,52.0,44.0,46.0,46.0,46.0,46.0,45.0,50.0,49.0,48.0,43.0,47.0,43.0,45.0,42.0,40.0
309,753872,354,"California, MD",msa,MD,,31.0,30.0,37.0,28.0,42.0,47.0,46.0,45.0,48.0,50.0,52.0,52.0,50.0,43.0,42.0,45.0,50.0,51.0,44.0,48.0,44.0,50.0,49.0,55.0,40.0,42.0,49.0,52.0,45.0,49.0,49.0,52.0,45.0,47.0,51.0,55.0,56.0,50.0,46.0,50.0,48.0,47.0,48.0,50.0,50.0,50.0,48.0,51.0,45.0,41.0,41.0,41.0,43.0,45.0,40.0,34.0
310,394333,355,"Anniston, AL",msa,AL,,,,,,,,,,,,,,33.0,32.0,35.0,37.0,40.0,36.0,38.0,38.0,40.0,36.0,41.0,43.0,36.0,41.0,42.0,45.0,42.0,38.0,41.0,40.0,44.0,43.0,41.0,43.0,29.0,39.0,36.0,43.0,47.0,43.0,38.0,41.0,39.0,37.0,43.0,39.0,33.0,31.0,35.0,37.0,36.0,36.0,33.0,39.0
311,394893,356,"Muncie, IN",msa,IN,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,40.0,34.0,44.0,29.0,40.0,45.0,30.0,37.0,43.0,42.0,40.0,35.0,40.0,37.0,41.0,39.0,40.0,39.0,41.0,41.0,42.0,37.0,40.0,37.0,37.0,35.0,37.0,40.0,38.0,37.0,36.0
312,395173,358,"Twin Falls, ID",msa,ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,31.0,33.0,32.0,33.0,33.0,34.0,33.0,31.0,35.0,29.0,30.0,32.0,30.0,32.0,30.0,30.0,30.0
313,395095,359,"Show Low, AZ",msa,AZ,,,35.0,36.0,43.0,33.0,38.0,32.0,35.0,32.0,29.0,32.0,41.0,29.0,31.0,34.0,36.0,35.0,31.0,33.0,36.0,34.0,35.0,38.0,40.0,33.0,31.0,41.0,32.0,32.0,35.0,37.0,42.0,41.0,43.0,40.0,43.0,35.0,39.0,38.0,39.0,39.0,38.0,42.0,37.0,39.0,36.0,41.0,42.0,29.0,35.0,32.0,35.0,35.0,29.0,28.0,31.0
