RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30
102001,0,United States,country,,0.9827666511411272,0.9844155844155844,0.9880776214853473,0.9906542056074766,0.9926894959599846,0.9939393939393939,0.9918657084566783,0.9891196834817013,0.9872611464968153,0.9854977025054077,0.9843953185955787,0.9828448892065761,0.9814814814814815,0.983271375464684,0.9858740435550324,0.9883527697568764,0.9904761904761905,0.991304347826087,0.9904761904761905,0.9888925514538943,0.9877085162423178,0.9866666666666667,0.986159169550173,0.985,0.9832635983263598,0.9855072463768116,0.9898937548587717,0.9932432432432432,0.9915966386554622,0.993103448275862,0.997229916897507,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0027455830388692,1.010204081632653,1.0089285714285714,1.00080064051241,1.0,1.0,1.0,1.0,1.0,1.0,1.004491629236423,1.0147058823529411,1.0162337662337662,1.0102813347939958,1.0,1.0,1.0
394913,1,"New York, NY",msa,NY,0.9776207302709069,0.9769483805668016,0.9801960392078416,0.9799263634430504,0.9799691833590138,0.9839357429718876,0.9848484848484849,0.9836081698521022,0.9823182711198428,0.98,0.9781400518710633,0.9777171441564347,0.9768536681051393,0.9761904761904762,0.975609756097561,0.9772727272727273,0.9805013927576601,0.9818930898772834,0.9824165187933538,0.9818181818181818,0.9807692307692307,0.97911227154047,0.9780907668231612,0.9789473684210527,0.9777777777777777,0.9763313609467456,0.9788235294117648,0.9828641027956487,0.9826086956521739,0.9827250444686644,0.9857142857142858,0.9919839679358717,0.9972183588317107,1.0,1.0,1.0,1.0,0.9938366718027735,0.9942117414105676,1.0,1.0,1.0000018518552811,1.0025062656641603,1.0016026670022677,1.0001227560361543,1.0,1.0,1.0,1.0,1.0,1.0,1.0044904241236046,1.0176991150442478,1.0218480876707972,1.0204081632653061,1.0124077561785625,1.0002128112364332
753899,2,"Los Angeles, CA",msa,CA,0.9983257072057276,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9972602739726028,0.9943181818181818,0.9923544828688643,0.9916492693110647,0.9886149299490083,0.990929456157031,0.9920254980566126,0.994728110824318,0.9967207836343082,0.9976283191017481,0.9956759161123789,0.9960159362549801,0.9949937421777222,0.9946595460614153,0.9966793653109087,0.9946595460614153,0.9935064935064936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.000016666944449,1.000250062515629,1.0002004409701344,1.0001290489095367,1.0013351134846462,1.0125006328132908,1.0209072708728884,1.0263157894736843,1.03,1.0306242638398115,1.0238095238095237,1.0177560494038227,1.017391304347826,1.017921146953405,1.0188679245283019,1.018363939899833,1.0333333333333334,1.0476876582114998,1.0524639526411659,1.0434782608695652,1.0273081924577374,1.006900519820642,1.0,1.0
394463,3,"Chicago, IL",msa,IL,0.9720649301623254,0.9722222222222222,0.9768075847158353,0.9795918367346939,0.9807767752059631,0.9818181818181818,0.9811974391866287,0.9790209790209791,0.9774973867816362,0.9767441860465116,0.9744349759170063,0.972395626151924,0.972492358988608,0.972972972972973,0.9772989611388996,0.9793253536452666,0.9805825242718447,0.981029810298103,0.9799942012177443,0.9792709077912795,0.9783212896053363,0.9771573604060914,0.9763636276817733,0.9744454917427983,0.9736123748862603,0.973001946003892,0.9777171441564347,0.9799909049567985,0.9799610337942599,0.9795748228428511,0.9827866945801349,0.9836612204068023,0.9852941176470589,0.9853687667960586,0.9853938405741889,0.9866607381058248,0.9839161875676874,0.9846153846153847,0.988,0.9976076555023924,1.0,1.0,1.000250062515629,1.0,1.0,1.0,0.9965397923875432,0.9957142857142857,0.9895998947882703,1.0,1.0,1.0006671114076051,1.0082304681619751,1.0075471698113208,1.000100010001,1.0,0.9961832061068703
394514,4,"Dallas, TX",msa,TX,0.988,0.9912280701754386,0.9959239130434783,1.0,1.0,1.0,0.9971419498253413,0.9924720127328944,0.9902912621359223,0.9883676884842154,0.9878419452887538,0.985448893840361,0.9840931823314942,0.9861543521914222,0.9899903815249841,0.990909090909091,0.9917610133531507,0.9910313901345291,0.9909361578701824,0.9887985014877574,0.9871924717305678,0.9868740128993582,0.9877469367341836,0.9862167538891677,0.9857142857142858,0.9866732445321493,0.9906738162335177,0.9931863326651484,0.9918367346938776,0.9943661971830986,0.9969989996665555,0.996078431372549,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0153846153846153,1.0249156013443477,1.0322388174609285,1.0291443575953436,1.0212765957446808,1.0106214238010145,1.0040277519091079,1.0037593984962405,1.0039904228927479,1.0051615051615053,1.017037770080818,1.0410958904109588,1.0520851299298608,1.0502100420084017,1.033505584264044,1.011111111111111,1.0,1.0
394692,5,"Houston, TX",msa,TX,0.9763313609467456,0.9761191901910464,0.9777777777777777,0.981510143874993,0.9819729549188467,0.9821428571428571,0.9819776486213381,0.9811320754716981,0.9792909792909793,0.9786210521504639,0.9777777777777777,0.9782173897232627,0.9762125473106443,0.9780701754385965,0.9792534758414001,0.9814197236779418,0.9830508474576272,0.9831352847801609,0.9834426047338594,0.9811392646218328,0.98,0.9800381226403626,0.9811320754716981,0.979498861047836,0.9778187781877818,0.979381443298969,0.9824937477670597,0.9846153846153847,0.9833332777775926,0.9839816933638444,0.9859044549428231,0.986666651851819,0.9869298479594558,0.987243711934539,0.9880952380952381,0.987012987012987,0.9870550161812298,0.9888888888888889,0.9968353419786092,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0026385224274406,1.0084902500473298,1.0004042449973047,1.0,1.0,0.9891891891891892
395209,6,"Washington, DC",msa,VA,0.9921025960863803,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9956109956109956,0.9940606439512347,0.9989358872040436,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0083333333333333,1.0159825834542815,1.023017903658091,1.0204081632653061,1.011764705882353,1.000864376130199,1.0,1.0,1.0,1.0,1.0,1.002004008016032,1.0184132757444875,1.0267805172127058,1.023890784982935,1.0120361204336383,1.0000016333360022,1.0,1.0
394856,7,"Miami, FL",msa,FL,0.9635036496350365,0.9652509652509652,0.9647058823529412,0.9681258664452139,0.9662921348314607,0.9681817000004775,0.9675675675675676,0.9686541281785673,0.9693686609534726,0.9671592775041051,0.9684230914170345,0.9661538461538461,0.9649749821300929,0.9646302250803859,0.9670462508177831,0.9661561202425233,0.9677731539727088,0.9692307692307692,0.96875,0.9693053311793215,0.967741935483871,0.9698996655518395,0.96875,0.9688195991091314,0.9664646527756084,0.9678291430116248,0.9689310163243813,0.9705882352941176,0.968,0.9682804674457429,0.9721048182586645,0.9714285714285714,0.9723546234509056,0.9722222222222222,0.974025974025974,0.9723302589176576,0.9725648942200421,0.9723076923076923,0.9745927897083001,0.9774436090225563,0.9807956104252401,0.9866646458522785,0.9899958315964985,0.9906976744186047,0.98989898989899,0.9897215652370142,0.9883720930232558,0.990210576585109,0.9889433442244004,0.9922861481010321,1.0,1.0,1.0,1.0,1.0,0.9925925925925926,0.9830508474576272
394974,8,"Philadelphia, PA",msa,PA,0.9793208050104554,0.9817351598173516,0.9829059829059829,0.9854014598540146,0.9891891891891892,0.9915518008003558,0.9888169511477339,0.9872067648663394,0.9862258953168044,0.983991461828227,0.9823529411764705,0.9821753364859949,0.9804306051217695,0.9817351598173516,0.9815507802504737,0.9869751829855964,0.9904761904761905,0.9932043910088866,0.9928571428571429,0.9881175734834271,0.9879116298457691,0.986015549909631,0.9867959091410134,0.9846153846153847,0.9807711168711595,0.9838799332962757,0.9886075949367089,0.9953317772590864,0.9928080050031269,0.9929078014184397,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0006253908692933,1.009809578765147,1.0048780487804878,1.0002367507174683,1.0,1.0,1.0,1.0,1.0,1.0,1.0050251256281406,1.019871035662587,1.0212588578574406,1.0127531882970742,1.0003541354023668,1.0
394347,9,"Atlanta, GA",msa,GA,0.9830541798446775,0.9867783138708248,0.9896907216494846,0.994927919864925,0.9974278365247213,0.9946748170386178,0.9943714821763602,0.9904761904761905,0.9896529562982005,0.9876127873213572,0.9866220735785953,0.986013986013986,0.9854927463731866,0.9868421052631579,0.9896907216494846,0.9911176857330704,0.9927377298870173,0.992,0.9921414538310412,0.9902200488997555,0.9891783158221779,0.9878885171797003,0.9883495145631068,0.9876729356184502,0.9849977269283224,0.9891080365027966,0.9922480620155039,0.9965670577835273,0.99583401128105,0.9941176470588236,0.9975062344139651,0.9984477430266072,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0029850746268656,1.0095238095238095,1.0133333333333334,1.0125523012552302,1.008695652173913,1.0005130836326321,1.0001666944490748,1.000250062515629,1.0002703433360367,1.0,1.0040160642570282,1.014215241422268,1.0229597635826324,1.025366202215077,1.018,1.0050251256281406,1.0,1.0
